Class,Accuracy (%)
Strawberry,99.69
Cowpea,99.44
Soybean,99.89
Sorghum,100.00
Water spinach,98.68
Watermelon,97.42
Greens,99.80
Trees,99.34
Grass,99.41
Red roof,99.85
Gray roof,99.66
Plastic,99.54
Bare soil,96.39
Road,99.65
Bright object,95.19
Water,99.95
