Class,Accuracy (%)
Water,100.00
Hippo grass,100.00
Floodplain grasses1,100.00
Floodplain grasses2,100.00
Reeds1,97.27
Riparian,100.00
Firescar2,100.00
Island interior,100.00
Acacia woodlands,100.00
Acacia shrublands,100.00
Acacia grasslands,100.00
Short mopane,100.00
Mixed mopane,100.00
Exposed soils,100.00
