Class,Accuracy (%)
Asphalt,99.97
Meadows,100.00
Gravel,97.44
Trees,98.63
Painted metal sheets,100.00
Bare Soil,100.00
Bitumen,100.00
Self-Blocking Bricks,98.51
Shadows,99.44
