Class,Accuracy (%)
Scrub,97.23
Willow swamp,73.59
Cabbage palm hammock,93.03
Cabbage palm/oak hammock,68.33
Slash pine,75.16
Oak/broadleaf hammock,86.70
Hardwood swamp,93.00
Graminoid marsh,85.85
Spartina marsh,93.32
Cattail marsh,90.62
Salt marsh,99.00
Mud flats,99.37
Water,100.00
